User: Regular User, Email: user@system.com, Role: UserRole.USER
  Access: False, Trial Start: None, Trial End: None
User: Employee, Email: employee@system.com, Role: UserRole.USER
  Access: False, Trial Start: None, Trial End: None
User: Super Admin, Email: admin@system.com, Role: UserRole.SUPER_ADMIN
  Access: False, Trial Start: None, Trial End: None
User: Manager, Email: admin01@system.com, Role: UserRole.ADMIN
  Access: False, Trial Start: None, Trial End: None
User: user, Email: user01@system.com, Role: UserRole.USER
  Access: False, Trial Start: None, Trial End: None
User: user, Email: user02@system.com, Role: UserRole.USER
  Access: False, Trial Start: 2026-05-28 08:55:33.613000, Trial End: 2026-06-04 08:55:33.613000
